Name,Style,Strengths,Weaknesses
Ron van Clief,submission specialist,"high-level grappling, effective submissions, strong positional control","striking limitations, can struggle against powerful strikers, cardio issues"
Joe Son,grappler,"solid wrestling base, effective takedowns, strong ground control","limited striking ability, vulnerability to submissions, can be outmaneuvered"
Melton Bowen,striker,"powerful striking, excellent footwork, strong chin","limited grappling, can be too aggressive, defense can be lacking"
Dan Severn,pressure wrestler,"elite grappling, relentless pressure, strong conditioning","limited striking, can be taken out of rhythm, slower pace"
Anthony Macias,submission specialist,"high-level grappling, creative submissions, strong positional control","striking is underdeveloped, can struggle against wrestlers, may be too focused on submissions"
Dave Beneteau,brawler,"aggressive fighting style, knockout power, high durability","defensive flaws, limited technical skills, can be reckless"
Asbel Cancio,technical striker,"precise striking, good fight IQ, effective countering","grappling defense can be exploited, may lack finishing instinct, can be too cautious"
John Dowdy,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, struggles against pressure fighters, inconsistent cardio"
Jon Hess,submission specialist,"high-level grappling, exceptional submission techniques, strong positional control","struggles on feet, can be taken down easily, limited striking output"
Andy Anderson,pressure wrestler,"relentless takedown attempts, strong ground-and-pound, cardio for extended fights","vulnerable to counter-strikes, lacks striking finesse, can tire if unable to secure takedowns"
Todd Medina,brawler,"high volume striking, aggressive fighting style, good chin","defensive lapses, limited technical striking, can be outmaneuvered"
Larry Cureton,technician,"well-rounded skill set, effective in both striking and grappling, strategic fight IQ","can be too cautious, may struggle against high-pressure opponents, less explosive"
Oleg Taktarov,submission specialist,"high-level grappling, excellent submissions, strong positional control","limited striking power, can struggle against stand-up fighters, slower pace"
Ernie Verdicia,brawler,"aggressive striking, high volume of punches, strong chin","defensive vulnerabilities, lacks technical finesse, can be reckless"
Joel Sutton,technical striker,"precise striking, good footwork, effective counter-punching","limited grappling skills, can be outmuscled, sometimes hesitant to engage"
Jack McGlaughlin,pressure wrestler,"relentless takedown attempts, cardio for high pace, strong ground control","striking defense issues, can be taken down himself, predictable game plan"
He-Man Gipson,all-rounder,"versatile skill set, adaptability in fights, solid conditioning","lacks specialization, can be inconsistent, sometimes overextends"
David Abbott,brawler,"powerful striking, aggressive approach, high durability","limited technical grappling, susceptibility to counter-strikes, stamina issues"
John Matua,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking defense, limited striking output, can be outpaced by faster opponents"
Paul Varelans,slugger,"heavy hands, knockout power, intimidating presence","poor cardio, lack of finesse, vulnerability to submissions"
Cal Worsham,submission specialist,"high-level grappling, effective submissions, strong positional awareness","striking defense, can struggle against powerful strikers, less effective in stand-up exchanges"
Rudyard Moncayo,technical striker,"precision striking, good footwork, tactical approach","grappling defense, can be too cautious, struggles against aggressive fighters"
Geza Kalman,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, susceptibility to takedowns, inconsistent cardio"
Onassis Parungao,submission specialist,"high-level grappling, exceptional submission skills, strong positional control","striking defense, limited striking output, can be taken down"
Francesco Maturi,pressure wrestler,"relentless pace, strong takedown ability, effective ground and pound","vulnerable to counter-strikes, cardio management issues, limited striking variety"
Scott Bessac,brawler,"high volume of strikes, toughness, ability to absorb damage","defensive lapses, lack of technical striking, poor grappling defense"
David Hood,technician,"well-rounded skill set, strategic fight IQ, effective at range","can be hesitant to engage, struggles against aggressive opponents, lacks knockout power"
Gerry Harris,striker,"powerful punches, excellent footwork, high knockout rate","defensive grappling, stamina issues, limited ground game"
Mark Hall,pressure wrestler,"relentless takedowns, strong top control, cardio for extended grappling","striking defense, susceptibility to submissions, overreliance on wrestling"
Ryan Parker,submission specialist,"high-level grappling, creativity in submissions, strong positional awareness","striking vulnerability, sometimes overly aggressive, can be taken down"
Marco Ruas,mixed martial artist,"well-rounded skill set, effective striking and grappling, adaptability in fights","inconsistent fight pace, occasional lack of focus, defensive lapses"
Trent Jenkins,brawler,"aggressive striking, resilience in exchanges, ability to absorb damage","limited technical striking, poor defensive awareness, struggles against tactical fighters"
Sam Adkins,striker,"powerful punches, excellent footwork, good head movement","defensive grappling, stamina management, susceptibility to leg kicks"
Keith Mielke,pressure wrestler,"relentless takedown attempts, strong control on the ground, cardio for extended grappling exchanges","limited striking variety, vulnerability to submissions, can be outpaced by faster opponents"
Don Frye,brawler,"incredible toughness, knockout power, aggressive fighting style","defensive lapses, limited technical striking, struggles against skilled grapplers"
Thomas Ramirez,submission specialist,"high-level grappling, effective transitions, strong submission game","striking defense, reliance on ground game, can be outmuscled by stronger opponents"
Joe Moreira,technician,"sharp striking accuracy, tactical fight IQ, versatile skill set","can be overly cautious, struggles against aggressive fighters, may lack knockout power"
Jerry Bohlander,well-rounded striker,"effective striking, solid grappling, good cardio","inconsistent defense, limited finishing ability, sometimes overly cautious"
Scott Ferrozzo,brawler,"powerful punches, aggressive pressure, resilience","poor takedown defense, limited technical skills, susceptibility to counterattacks"
Gary Goodridge,striker with knockout power,"explosive striking, strong clinch game, intimidating presence","defensive liabilities, struggles against grapplers, stamina issues in later rounds"
Paul Herrera,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, limited stand-up skills, can be taken down"
Steve Nelmark,pressure wrestler,"relentless takedowns, strong top control, cardio for grappling","striking vulnerability, predictable game plan, struggles against counter-strikers"
Tai Bowden,brawler,"powerful striking, aggressive pace, high durability","limited technical grappling, susceptibility to counterattacks, stamina management issues"
Zane Frazier,pressure wrestler,"strong takedowns, relentless pressure, effective ground control","striking defense vulnerabilities, limited striking output, fatigue in prolonged exchanges"
Rafael Carino,submission specialist,"high-level grappling, excellent positional awareness, creative submission attempts","striking defense concerns, reliance on ground game, potential for being outpaced"
Matt Andersen,technical striker,"precise striking, good footwork, effective range management","grappling defense weaknesses, can be hesitant to engage, struggles against pressure fighters"
Mark Schultz,wrestler,"elite wrestling pedigree, strong clinch work, effective at controlling the pace","limited striking arsenal, potential cardio issues in later rounds, vulnerability to submissions"
Koji Kitao,striker,"powerful punches, good footwork, effective counterattacks","limited grappling, can be overly aggressive, susceptible to leg kicks"
Amaury Bitetti,submission specialist,"excellent grappling, high submission rate, strong positional control","struggles with stand-up exchanges, can be taken down, limited striking power"
Dieusel Berto,brawler,"high volume striking, relentless pressure, strong chin","defensive lapses, lacks technical finesse, cardio issues in later rounds"
Brian Johnston,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking skills, can be outpaced, struggles against counter-strikers"
Scott Fiedler,technician,"well-rounded skill set, effective striking and grappling, good fight IQ","can be hesitant to engage, sometimes lacks urgency, may struggle against aggressive fighters"
Mark Coleman,ground-and-pound wrestler,"powerful takedowns, relentless pressure, strong grappling skills","limited striking diversity, susceptibility to submissions, stamina issues"
Moti Horenstein,submission specialist,"high-level grappling, excellent positional control, creativity in submissions","striking vulnerability, slower pace, reliance on ground game"
John Campetella,technical striker,"precise striking, good footwork, effective counter-punching","defensive grappling, limited power, occasional over-reliance on technique"
Sam Fulton,brawler,"heavy hands, aggressive fighting style, high pressure","defensive lapses, lack of finesse, cardio concerns in later rounds"
Roberto Traven,well-rounded fighter,"versatile skill set, adaptability in fights, strong in both striking and grappling","inconsistency in performance, can be outpaced, sometimes hesitant to engage"
Dave Berry,brawler,"powerful striking, aggressive pressure, high durability","limited grappling, susceptibility to counter strikes, stamina issues"
Julian Sanchez,technician,"precise striking, excellent footwork, strong fight IQ","lack of knockout power, vulnerability in clinch exchanges, slower pace"
Reza Nasri,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, reliance on ground game, can be outpaced"
Fabio Gurgel,pressure wrestler,"relentless takedowns, cardio for grappling, effective ground and pound","limited striking range, can be outmaneuvered, overcommits on takedowns"
Jack Nilson,counter striker,"quick reflexes, effective counters, strong defensive skills","passive fighting style, struggles against aggressive opponents, low volume striking"
Nick Sanzo,striker,"powerful punches, effective footwork, strong defense","limited grappling, susceptibility to leg kicks, inconsistent cardio"
Jackie Lee,submission specialist,"high-level grappling, excellent positional awareness, relentless pressure","striking defense, slow pace, vulnerability to stand-up exchanges"
Justin Martin,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking variety, stamina issues in later rounds, predictable game plan"
Eric Martin,brawler,"aggressive striking, high knockout power, resilience","poor defense, low fight IQ, struggles against technical fighters"
Rainy Martinez,technician,"well-rounded skill set, strategic fight IQ, effective counter-striking","tendency to overthink, can be hesitant, lacks finishing instinct"
Yoshiki Takahashi,striker,"powerful striking, agility, effective counterattacks","defensive vulnerabilities, limited grappling skills, stamina issues"
Wallid Ismail,submission specialist,"excellent grappling, high-level jiu-jitsu, strong positional control","striking defense, reliance on ground game, less effective in stand-up exchanges"
Jim Mullen,brawler,"heavy hands, relentless pressure, toughness","poor technique, susceptibility to counterstrikes, cardio limitations"
Vitor Belfort,explosive striker,"fast hands, knockout power, strong clinch game","inconsistent fight IQ, grappling defense, tendency to fade late in fights"
Tra Telligman,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking range, vulnerability to submissions, can be outpaced"
Tito Ortiz,pressure wrestler,"powerful takedowns, relentless ground control, effective ground and pound","limited striking diversity, susceptibility to submissions, cardio issues in later rounds"
Wes Albritton,brawler,"heavy hands, aggressive fighting style, high durability","defensive vulnerabilities, lack of technical striking, limited grappling skills"
Saeed Hosseini,submission specialist,"high-level grappling, excellent positional awareness, effective at finding submissions","striking defense concerns, reliance on ground game, potential cardio issues"
Enson Inoue,striker with grappling,"powerful striking, effective clinch work, solid grappling defense","inconsistent takedown defense, can be outpaced by faster fighters, occasional overreliance on striking"
Royce Alger,technical grappler,"strong wrestling base, effective submissions, good fight IQ","limited striking output, can struggle against powerful strikers, not the fastest athlete"
Steven Graham,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina management, limited ground game"
Dmitri Stepanov,pressure wrestler,"relentless takedowns, strong clinch work, cardio endurance","striking defense, susceptibility to submissions, overcommitting on takedowns"
Randy Couture,grappling technician,"high-level wrestling, effective ground control, strategic fight IQ","striking speed, age-related decline, vulnerability to powerful strikers"
Tony Halme,brawler,"heavy hands, aggressive fighting style, resilience","defensive lapses, lack of technique, cardio issues in later rounds"
Tony Fryklund,submission specialist,"advanced grappling skills, creativity in submissions, strong positional awareness","striking defense, reliance on ground game, potential for being outpaced"
Donnie Chappell,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, struggles against pressure fighters"
Alex Hunter,submission specialist,"high-level grappling, exceptional flexibility, strong positional awareness","struggles in stand-up exchanges, can be taken down, relies heavily on ground game"
Yuri Vaulin,pressure wrestler,"relentless pace, effective takedowns, strong cardio","vulnerable to counterstrikes, limited striking variety, can tire out in later rounds"
Kevin Jackson,brawler,"aggressive striking, knockout power, high resilience","defensive lapses, lacks technical finesse, can be outmaneuvered"
Todd Butler,technician,"well-rounded skill set, strategic fight IQ, effective combinations","can be too cautious, occasionally hesitates in exchanges, struggles against unorthodox styles"
Mark Kerr,ground-and-pound wrestler,"exceptional grappling, powerful strikes, relentless pressure","limited striking variety, susceptibility to submissions"
Dan Bobish,strong wrestler,"explosive takedowns, physical strength, effective top control","striking defense, cardio issues in later rounds"
Maurice Smith,striking specialist,"technical striking, good footwork, effective counterpunching","vulnerability to takedowns, limited grappling skills"
Harry Moskowitz,submission specialist,"high-level grappling, creativity in submissions, strong positional awareness","striking defense, reliance on ground game"
Dwayne Cason,pressure fighter,"high output striking, relentless pace, strong clinch work","defensive vulnerabilities, stamina management"
Houston Dorr,brawler,"powerful striking, aggressive pace, high durability","limited grappling, predictable combinations, stamina issues"
Greg Stott,technician,"precise striking, excellent footwork, strong defensive skills","lack of finishing ability, can be overly cautious, struggles against pressure fighters"
Carlos Barreto,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense vulnerabilities, slow pace, reliance on ground game"
Brad Kohler,pressure wrestler,"relentless takedown attempts, cardio, ground and pound effectiveness","striking defense gaps, can be outpaced, limited striking variety"
Yoji Anjo,counter striker,"quick reflexes, effective counters, strong tactical awareness","defensive liabilities, can be hesitant to engage, struggles against aggressive opponents"
Kazushi Sakuraba,submission specialist,"exceptional grappling, endurance, adaptability","striking defense, susceptibility to power strikes"
Marcus Silveira,technical grappler,"solid ground control, effective submissions, strategic mindset","limited striking output, can be outpaced"
Frank Shamrock,well-rounded fighter,"versatile skill set, strong striking and grappling, fight IQ","injury-prone, sometimes overextends in exchanges"
Laverne Clark,brawler,"powerful striking, aggressive approach, high pressure","defensive gaps, reliance on striking"
Josh Stuart,pressure wrestler,"relentless takedowns, cardio, ground-and-pound","striking vulnerability, limited submission skills"
Chris Brennan,submission specialist,"high-level grappling, effective submissions, strong positional control","limited striking volume, can be taken down, sometimes overly reliant on grappling"
Courtney Turner,brawler,"aggressive striking, high output, good chin","defensive vulnerabilities, lacks technical finesse, cardio concerns in later rounds"
Mikey Burnett,pressure wrestler,"relentless pace, strong takedowns, effective ground and pound","striking defense issues, can be outpaced, limited striking variety"
Eugenio Tadeu,technical striker,"precise striking, good footwork, effective counter-punching","grappling defense can be exploited, sometimes hesitant to engage, lacks knockout power"
Pat Miletich,well-rounded fighter,"versatile skill set, strong wrestling background, effective striking","can be outpaced by faster fighters, sometimes relies too much on wrestling, defensive gaps against elite strikers"
Townsend Saunders,well-rounded technician,"versatile striking, solid grappling, good fight IQ","inconsistent aggression, can be outpaced, limited knockout power"
Tsuyoshi Kohsaka,striker with grappling,"effective striking, strong takedown defense, experience in high-pressure situations","susceptible to submissions, can struggle against relentless pressure, sometimes overly defensive"
Igor Zinoviev,striking specialist,"powerful punches, quick footwork, ability to read opponents","vulnerable to takedowns, limited ground game, can be overly reliant on striking"
Chuck Liddell,brawler,"explosive knockout power, strong takedown defense, effective counter-striking","defensive vulnerabilities, can be outmaneuvered, relies heavily on striking"
Noe Hernandez,submission specialist,"high-level grappling, excellent submission transitions, strong positional control","limited striking, can be outpaced on feet, struggles against powerful wrestlers"
Andre Roberts,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be too aggressive, struggles against high-level wrestlers"
Dan Henderson,brawler,"explosive power, strong wrestling base, veteran experience","slower foot speed, can be susceptible to submissions, relies heavily on knockout power"
Allan Goes,submission specialist,"high-level grappling, effective in transitions, strong submission game","striking is underdeveloped, can be outpaced, vulnerable to takedown defense"
Carlos Newton,well-rounded,"versatile skill set, effective striking and grappling, good fight IQ","inconsistent performance, can be overwhelmed by pressure fighters, sometimes lacks aggression"
Bob Gilstrap,pressure wrestler,"relentless takedown attempts, strong cardio, effective ground control","limited striking ability, can be outmaneuvered, struggles against counter-strikers"
Mike van Arsdale,wrestler,"strong grappling, excellent takedowns, cardio","limited striking, vulnerability to submissions"
Joe Pardo,striker,"powerful punches, good footwork, effective countering","defensive gaps, susceptibility to grappling"
Hugo Duarte,submission specialist,"high-level grappling, creative submissions, endurance","striking defense, slower pace"
Pete Williams,brawler,"heavy hands, aggressive style, resilience","poor takedown defense, limited technique"
Jeremy Horn,all-rounder,"versatile skill set, experience, strong submissions","aging reflexes, inconsistent striking"
Cesar Marscucci,striker,"powerful striking, effective combinations, good footwork","defensive grappling, stamina issues, limited ground game"
Paulo Santos,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking defense, susceptibility to stand-up exchanges, cardio in later rounds"
Tulio Palhares,pressure wrestler,"relentless takedowns, strong clinch work, effective ground and pound","striking accuracy, over-reliance on wrestling, vulnerability to counter-strikes"
Adriano Santos,technician,"technical striking, high fight IQ, adaptability in exchanges","lack of knockout power, can be too passive, struggles against aggressive fighters"
Ebenezer Fontes Braga,brawler,"high pressure, relentless aggression, strong chin","poor defensive skills, limited technique, gas tank concerns"
Pedro Rizzo,striker,"powerful leg kicks, knockout ability, solid boxing technique","defensive grappling, stamina issues, limited ground game"
Wanderlei Silva,brawler,"aggressive striking, relentless pressure, strong clinch work","defensive vulnerabilities, susceptibility to counter-strikes, cardio management"
John Lober,submission specialist,"excellent grappling, versatile submission skills, strong positional control","striking defense, reliance on ground game, limited striking output"
Frank Caracci,all-rounder,"well-rounded skill set, adaptability, solid wrestling base","inconsistent fight IQ, lack of finishing ability, sometimes hesitant"
Evan Tanner,pressure fighter,"high endurance, effective striking volume, strong wrestling","defensive lapses, occasional overreliance on pressure, grappling vulnerability"
Darrel Gholar,pressure wrestler,"excellent grappling, relentless pace, strong takedowns","limited striking, susceptibility to submissions, stamina management"
Jorge Patino,submission specialist,"high-level grappling, dangerous on the ground, effective transitions","striking defense, can be outpaced, vulnerable to ground and pound"
Bas Rutten,striker with grappling,"powerful striking, versatile techniques, solid takedown defense","can be taken down, occasionally overcommits, limited ground game"
Sione Latu,brawler,"heavy hands, aggressive fighting style, high durability","poor technical striking, lacks finesse, cardio issues"
Joey Roberts,technical striker,"precise striking, good footwork, effective countering","vulnerable to grappling, can be too passive, limited knockout power"
Jason Godsey,striker,"powerful punches, good footwork, effective at range","vulnerable to takedowns, limited grappling defense"
Valeri Ignatov,technical grappler,"solid submission skills, excellent positional control, high fight IQ","struggles against aggressive strikers, cardio issues in later rounds"
Kevin Randleman,wrestler,"explosive takedowns, strong ground and pound, athleticism","defensive striking gaps, inconsistent striking technique"
Ron Waterman,submission specialist,"high-level grappling, diverse submission arsenal, strong in transitions","limited striking output, can be outpaced by faster opponents"
Chris Condo,brawler,"aggressive fighting style, resilience, knockout power","defensive vulnerabilities, lacks technical finesse"
Fabiano Iha,technical striker,"excellent footwork, diverse striking arsenal, strong defensive skills","limited grappling, can be outpaced by aggressive fighters, sometimes hesitant to engage"
Marcelo Mello,submission specialist,"high-level grappling, exceptional submission skills, strong positional control","striking is underdeveloped, can struggle against powerful strikers, tends to rely too heavily on ground game"
David Roberts,brawler,"powerful punches, relentless pressure, high durability","lacks technical finesse, susceptible to counterattacks, cardio issues in later rounds"
Tony Petarra,pressure wrestler,"strong takedowns, relentless pace, effective ground-and-pound","vulnerable to submissions, striking defense can be lacking, may tire against skilled opponents"
Travis Fulton,versatile fighter,"well-rounded skill set, experience in multiple disciplines, adaptability in fights","inconsistent performance, can be over-reliant on experience, sometimes lacks focus in fights"
David Dodd,striker,"powerful punches, effective footwork, good head movement","defensive grappling, stamina issues, limited submission skills"
Eugene Jackson,pressure wrestler,"relentless takedowns, cardio, strong ground control","striking defense, susceptibility to counterattacks, limited striking variety"
Tim Lajcik,submission specialist,"advanced grappling techniques, excellent positional awareness, high submission rate","striking vulnerability, slow pace, reliance on ground game"
Paul Jones,brawler,"aggressive fighting style, high volume of strikes, resilience","poor defensive skills, lack of tactical approach, limited grappling"
Flavio Luiz Moura,technician,"well-rounded skill set, strategic fight IQ, effective combinations","occasional overthinking, slower pace, less knockout power"
Daiju Takase,submission specialist,"high-level grappling, excellent submission transitions, strong defensive skills","limited striking power, vulnerability to aggressive strikers, inconsistent cardio"
Andre Pederneiras,technical striker,"precise striking, strong fight IQ, effective counter-striking","susceptible to pressure fighters, limited wrestling, can be outpaced"
Jens Pulver,brawler,"explosive power, relentless aggression, strong boxing skills","defensive lapses, can be taken down, stamina management issues"
Alfonso Alcarez,pressure wrestler,"strong takedowns, effective ground control, relentless pace","striking defense vulnerabilities, limited striking variety, can tire in later rounds"
John Lewis,all-rounder,"versatile skill set, balanced striking and grappling, adaptable in fights","lacks specialization, can be outclassed by specialists, sometimes hesitant to engage"
Lowell Anderson,striker,"powerful punches, effective footwork, good head movement","defensive grappling, stamina issues, limited submission skills"
Matt Hughes,pressure wrestler,"elite grappling, relentless pace, strong ground and pound","striking defense, susceptibility to submissions, slower foot speed"
Steve Judson,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking vulnerability, limited striking output, can be taken down"
Katsuhisa Fujii,technician,"well-rounded skill set, strategic fight IQ, effective counter-striking","lacks knockout power, can be overly cautious, struggles against aggressive fighters"
Masutatsu Yano,brawler,"high volume striking, toughness, aggressive pressure","poor defensive skills, limited grappling ability, can be outpaced"
Kenichi Yamamoto,striker,"explosive striking, excellent footwork, strong cardio","defensive grappling, susceptibility to submissions"
Keiichiro Yamamiya,submission specialist,"high-level grappling, effective in transitions, strong positional control","limited striking power, can be outpaced by strikers"
Joe Slick,brawler,"powerful punches, relentless pressure, high durability","defensive flaws, lacks technical finesse"
Shonie Carter,technical striker,"creative striking, diverse techniques, good fight IQ","vulnerability to takedowns, inconsistent output"
Brad Gumm,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","limited striking skills, can be countered effectively"
Scott Adams,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited ground game"
Ian Freeman,brawler,"high aggression, durability, strong chin","poor takedown defense, limited technical striking, susceptibility to submissions"
David Velasquez,pressure wrestler,"relentless pace, excellent takedowns, ground control","striking defense, cardio management, vulnerability to counter-strikes"
Bob Cook,technician,"high fight IQ, versatile skill set, effective in transitions","lack of knockout power, sometimes overly cautious, struggles against aggressive fighters"
Tiki Ghosn,submission specialist,"elite grappling, creativity in submissions, strong positional awareness","striking defense, reliance on ground game, can be outpaced by strikers"
Dave Menne,well-rounded,"versatile striking, solid grappling, good fight IQ","inconsistent pace, vulnerable to powerful strikers"
Lance Gibson,brawler,"heavy hands, relentless pressure, strong chin","limited technical striking, susceptibility to submissions"
Jermaine Andre,submission specialist,"excellent grappling, high-level submissions, adaptability","striking defense, can struggle against wrestlers"
Tedd Williams,pressure wrestler,"strong takedowns, cardio, ground control","limited striking, can be outpaced"
Koji Oishi,technical striker,"precision striking, footwork, fight strategy","grappling defense, can be too cautious"
Ikuhisa Minowa,submission specialist,"excellent grappling skills, high submission rate, adaptability in transitions","struggles against powerful strikers, limited striking volume, can be outpaced in stand-up exchanges"
Satoshi Honma,brawler,"powerful striking, aggressive fighting style, strong chin","defensive vulnerabilities, limited ground game, can tire in prolonged exchanges"
Sanae Kikuta,technical grappler,"high-level jiu-jitsu, effective takedowns, strong positional control","stand-up striking is less developed, can be outwrestled by stronger opponents, sometimes overly reliant on grappling"
Murilo Bustamante,well-rounded fighter,"balanced skill set, effective striking and grappling, strong fight IQ","may lack knockout power, can be outpaced by faster fighters, occasionally too cautious in approach"
Adrian Serrano,pressure wrestler,"relentless pressure, strong takedown ability, effective ground-and-pound","vulnerable to counter-strikes, cardio issues in later rounds, limited striking variety"
Nate Schroeder,striker,"powerful punches, excellent footwork, high volume striking","defensive grappling, susceptibility to leg kicks, inconsistent cardio"
Joao Roque,submission specialist,"high-level grappling, effective transitions, strong positional control","limited striking, can be outpaced, struggles against powerful wrestlers"
Marcelo Aguiar,pressure wrestler,"relentless pace, strong takedowns, effective ground and pound","vulnerable to counter-strikes, stamina issues in later rounds, limited striking variety"
Alex Andrade,brawler,"aggressive fighting style, knockout power, strong chin","defensive lapses, lacks technical finesse, can be outmaneuvered"
John Alessio,technician,"well-rounded skill set, effective striking and grappling, high fight IQ","can be too cautious, struggles against aggressive opponents, occasionally overthinks"
Tyrone Roberts,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
CJ Fernandes,submission specialist,"high-level grappling, effective at finding submissions, strong positional control","struggles with striking exchanges, can be taken down, limited striking output"
Jeff Monson,pressure wrestler,"relentless takedown attempts, exceptional grappling, strong cardio","vulnerable to striking, can be outpaced, lacks knockout power"
Yuki Kondo,technician,"well-rounded skills, effective striking and grappling, good fight IQ","occasionally hesitant, can be outmuscled, may struggle against aggressive fighters"
Alexandre Dantas,brawler,"aggressive striking, high volume of punches, strong chin","defensive lapses, susceptible to counterattacks, limited ground game"
Bobby Hoffman,striker,"powerful punches, good footwork, effective counterattacks","defensive vulnerabilities, limited grappling skills, stamina issues"
Ben Earwood,grappler,"strong takedowns, excellent ground control, submission proficiency","striking defense, slow pace, limited striking output"
Chris Lytle,brawler,"high volume striking, toughness, experience","defensive lapses, susceptibility to submissions, cardio management"
Mark Hughes,pressure wrestler,"relentless pressure, strong grappling, cardio","striking limitations, overreliance on wrestling, vulnerability to counterstrikes"
